algorithm,mean,std,min,max
GA,21.99691054624827,3.928871647088983,16.497269146603927,32.090864032558805
LLM-GA,21.041371822836222,3.089713178404257,16.12803528688869,27.605271542977775
Random Search,50.031434845580876,6.76787544232308,34.90629881252531,63.01761811467297
